id,Name,Year
307298,The Disaster Artist,2017
51613,The Green Mile,1999
51714,Alien,1979
51686,The Straight Story,1999
42089,A Brighter Summer Day,1991
51024,The Virgin Suicides,1999
50717,Marie Antoinette,2006
45585,Tess,1979
51271,A Few Good Men,1992
51366,Almost Famous,2000
311942,Cameraperson,2016
97672,U.S. Go Home,1994
35988,Yi Yi,2000
49468,Women on the Verge of a Nervous Breakdown,1988
51618,Being John Malkovich,1999
348772,Antiporno,2016
277064,Barbie,2023
879229,Perfect Days,2023
46729,Shallow Grave,1994
755564,The Holdovers,2023
51480,A.I. Artificial Intelligence,2001
51438,The Bridges of Madison County,1995
51238,The Great Dictator,1940
49883,My Darling Clementine,1946
